Gender,Attendance,Hours_Studied,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Physical_Activity,Learning_Disabilities,Exam_Score,Tutoring_Sessions,Motivation_Level,Teacher_Quality
Male,84,23,High,No,7,73,3,No,67,0,Low,Medium
Female,64,19,Medium,No,8,59,4,No,61,2,Low,Medium
Male,98,24,Medium,Yes,7,91,4,No,74,2,Medium,Medium
Male,89,29,Medium,Yes,8,98,4,No,71,1,Medium,Medium
Female,92,19,Medium,Yes,6,65,4,No,70,3,Medium,High
Male,88,19,Medium,Yes,8,89,3,No,71,3,Medium,Medium
Male,84,29,Low,Yes,7,68,2,No,67,1,Low,Medium
Male,78,25,High,Yes,6,50,2,No,66,1,Medium,High
Male,94,17,High,No,6,80,1,No,69,0,High,Low
Male,98,23,Medium,Yes,8,71,5,No,72,0,Medium,High
Male,80,17,High,No,8,88,4,No,68,4,Medium,High
Male,97,17,High,Yes,6,87,2,No,71,2,Low,High
Male,83,21,Medium,Yes,8,97,4,No,70,2,Low,Medium
Male,82,9,Medium,Yes,8,72,3,No,66,2,Medium,Medium
Male,78,10,High,Yes,8,74,4,No,65,1,Medium,Medium
Female,68,17,Medium,No,8,70,4,No,64,2,Medium,Medium
Male,60,14,Low,Yes,10,65,3,No,60,0,Low,Medium
Female,70,22,Medium,Yes,6,82,3,No,65,1,Medium,High
Female,80,15,Medium,Yes,9,91,2,No,67,3,Low,Medium
Male,75,12,High,Yes,7,58,4,No,66,3,Medium,Medium
Female,78,29,Medium,No,5,99,1,No,69,0,High,Medium
Male,99,19,High,No,6,84,3,No,72,1,Medium,High
Female,74,20,High,No,8,89,2,No,66,1,Low,Medium
Male,78,11,Medium,Yes,8,100,3,No,66,1,High,Medium
Female,65,17,High,Yes,5,75,3,No,63,2,Medium,Medium
Male,62,21,Low,Yes,6,54,3,No,64,0,High,High
Female,91,13,Medium,No,6,90,2,Yes,65,1,Medium,Medium
Male,83,22,High,Yes,6,94,2,No,71,0,Medium,Medium
Female,90,16,Medium,No,4,58,3,No,66,1,Medium,Medium
Male,66,18,High,No,4,51,2,No,64,2,Low,Medium
Female,83,16,Medium,No,6,57,4,Yes,63,0,Medium,Low
Male,70,31,High,Yes,7,66,3,No,69,1,Medium,Medium
